판매처,카테고리 대,카테고리 중,카테고리 소,상품명,상품가격,상품번호,제조사/수입자,제조국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[케네스레이디] (E598) 프릴 라펠카라 플레어 원피스 (EWOPKG0709),"72,618원",1000062778697,(주)린컴퍼니/(주)린컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,스퀘어 스트랩 스모킹 원피스(OP-4429),"28,116원",1000033955052,㈜바이와이제이/(주)바이와이제이,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,듀엘 플라워 패턴 넥 프릴 롱원피스(D202MSE331),"125,829원",1000042995175,HI가먼트코리아/(주)대현,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,[지컷21S/S]하트 프린트 원피스(7251237018),"104,598원",1000064883645,(주)성현인텨내셔널/(주)신세계인터내셔날,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,플라워 프린트 원피스(LGOPKF9800),"82,910원",1000045266175,(주)테난/(주)태진케이에스,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,(지고트) 플리츠 배색 집업 칼라 원피스 JK3A0OP89,"122,851원",1000042660145,(주)바바패션/(주)바바패션,중국
SSG.COM,여성브랜드패션,원피스,쉬폰/폴리원피스,야자수 프린트 프릴 롱 원피스 ENOW02741W,"100,104원",1000065070546,㈜이앤씨 월드/해당사항 없음,한국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[라인어디션][N602]백스트랩 핀턱 롱 원피스(NWOPKG6000),"70,395원",1000066825921,(주)린컴퍼니/(주)린컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[케네스레이디] (E565) 와이드카라 벨티드 원피스 (EGOPKG9600),"43,719원",1000068059122,(주)라인바이린/(주)라인바이린,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,[케네스레이디] (E598) 오픈카라 원버튼 플리츠 원피스 (EWOPKH1000),"65,949원",1000068011154,(주)린컴퍼니/(주)린컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,[Air cotton] 셔링 셔츠원피스 (2colors) TMOWA37W12,"41,280원",1000065565075,(주)이랜드월드/(주)이랜드월드,스리랑카
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,진주포인트 핏앤플레어 니트 원피스(OP-4338),"48,234원",1000033610635,㈜바이와이제이/(주)바이와이제이,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,컬러배색 스모킹 티어드 원피스(PM2WO508),"65,682원",1000066645599,(주)제이씨패밀리/(주)제이씨패밀리,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,벌른소매 롱원피스 (AL2WO447),"34,047원",1000044707935,(주)LAP/해당사항 없음,한국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,페미닌 체크 데일리 원피스(OP-5178),"22,221원",1000049656300,(주)바이와이제이/(주)바이와이제이,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,보태니컬 시폰 원피스 (SWWOPK22040),"37,400원",1000049980935,㈜인동에프엔/㈜인동에프엔,베트남
SSG.COM,여성브랜드패션,원피스,모직원피스,벨티드 2컬러 점프수트 [AL212WO521],"28,615원",1000067257698,에이로나/에이로나,상세설명참조
SSG.COM,여성브랜드패션,원피스,쉬폰/폴리원피스,[로엠] WY 플라워 랩형 원피스 - RMOW923G11_25,"15,264원",1000065913488,(주)인터파크/해당사항 없음,기타
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,E542 잔체크 플레어 벨티드 원피스 EWOPKH0500,"64,467원",1000067946398,(주)라인바이린/(주)라인바이린,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,플라워 자수 밴딩 셔링 OPS (AM2WO443),"48,190원",1000064604369,(주)랩/(주)랩,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,(E504)[케네스레이디] 더블버튼 플리츠 미디 원피스(EWOPKH1300),"79,287원",1000067449765,(주)라인 바이린/(주)라인 바이린,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,21SS A라인 플레어 원피스 EF5471-51G 166,"252,297원",1000060140284,동일드방레/동일드방레,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,소매프릴 랩 원피스 (AM2WO485),"41,206원",1000064753712,(주)LAP/(주)LAP,중국
SSG.COM,여성브랜드패션,원피스,셔츠형 원피스,쉬즈미스 NC06 벨티드 코튼 원피스 SWWOPK21180 (5736126),"104,640원",1000050572767,(주)셀러허브/해당사항 없음,기타
SSG.COM,여성브랜드패션,원피스,롱원피스,소매 디테일 핀턱 셔츠 원피스 GK4M0OPP5,"56,580원",1000047769701,(주)바바패션/(주)바바패션,베트남
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,V넥 심플 원피스(LGOPKE9400),"92,730원",1000043409013,(주)테난/(주)태진케이에스,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,듀엘 니트 배색 플라워 레이스 원피스 (D203MSE011),"130,380원",1000068325157,(주)대현/해당사항 없음,한국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,레트로 체크 라운드 원피스 (MOBBOP06S4),"41,600원",1000065843401,㈜퍼스트에프엔씨/㈜퍼스트에프엔씨,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[라인어디션](N753) 비비안느S 더블버튼 원피스 (NCOPKH7200),"279,000원",1000068138778,(주)린 컴퍼니/(주)린 컴퍼니,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,카라 롱 니트 원피스S(OP-4915),"35,826원",1000044139628,(주)바이와이제이/(주)바이와이제이,중국
SSG.COM,여성브랜드패션,원피스,쉬폰/폴리원피스,라운드 진주넥 원피스 ENOW81144O,"8,643원",1000068177608,㈜이앤씨 월드/㈜이앤씨 월드,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[BCBG]카라 턱 H라인 원피스 B0F7O676,"63,325원",1000051534024,㈜수인터내셔날/㈜수인터내셔날,중국
SSG.COM,여성브랜드패션,원피스,롱원피스,스퀘어넥 퍼프소매 원피스 (AM2WO57A),"48,190원",1000068240537,(주)LAP/(주)LAP,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,라운드넥 포플린 원피스 06698584800,"119,000원",1000061389774,Massimo Dutti/마시모두띠코리아 유한회사,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,시수루 7부소매  원피스(LGOPKE9100),"82,870원",1000044682919,(주)테난/(주)태진케이에스,중국
SSG.COM,여성브랜드패션,원피스,기본형/정장 원피스,[라인어디션](N753) 트위드 버튼 원피스(NWOPKD1301),"299,000원",1000068138823,(주)린 컴퍼니/해당사항 없음,한국
SSG.COM,여성브랜드패션,원피스,면/저지원피스,파셜 플리츠 카라 롱 원피스 7251237009140,"159,000원",1000063877873,신세계인터내셔날/신세계인터내셔날,중국
SSG.COM,여성브랜드패션,원피스,민소매 원피스,스티치 뷔스티에 원피스(LU41A6OP018X),"39,412원",1000066636217,(주)아이디조이/해당사항 없음,한국
